Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff,,Participant, ParticipantID, Condition, Gesture, Attempt Number, Outcome, Gesture Length (ns), Ideal Gesture Length, Difference,Diff
14,829013230, Control, Flick Up,2, Correct,1194195832,1007000000,-187195832,,,11,905003434, Return, Double Flip Right,2, Correct,1902877344,1010000000,-892877344,
14,829013230, Control, Flick Up,3, Correct,794753332,1007000000,212246668,,,11,905003434, Return, Double Flip Right,3, Correct,579097916,1010000000,430902084,
14,829013230, Control, Flick Up,4, Correct,1271640364,1007000000,-264640364,4412333019,,11,905003434, Return, Double Flip Right,4, Correct,513462865,1010000000,496537135,-52124010
15,829021128, Control, Flick Up,0, Correct,536380522,1007000000,470619478,,,11,905003639, Return, Flick Down,0, Correct,441466250,1004000000,562533750,
15,829021128, Control, Flick Up,1, Correct,521398906,1007000000,485601094,,,11,905003639, Return, Flick Down,1, Correct,525353802,1004000000,478646198,
15,829021128, Control, Flick Up,2, Correct,250143854,1007000000,756856146,,,11,905003639, Return, Flick Down,2, Correct,583971458,1004000000,420028542,
15,829021128, Control, Flick Up,3, Correct,299612031,1007000000,707387969,,,11,905003639, Return, Flick Down,4, Correct,508841927,1004000000,495158073,
15,829021128, Control, Flick Up,4, Correct,277431354,1007000000,729568646,258949168,,11,905003639, Return, Flick Down,5, Correct,738754479,1004000000,265245521,4620938
16,829022443, Control, Double Flip Right,0, Correct,417373281,1010000000,,,,11,905003224, Return, Flick Left,1, Correct,267701927,1005000000,737298073,
16,829022443, Control, Double Flip Right,1, Correct,431509271,1010000000,,,,11,905003224, Return, Flick Left,2, Correct,232622708,1005000000,772377292,
16,829022443, Control, Double Flip Right,3, Correct,419629062,1010000000,,,,11,905003224, Return, Flick Left,3, Correct,319658594,1005000000,685341406,
16,829022443, Control, Double Flip Right,4, Correct,369920416,1010000000,,,,11,905003224, Return, Flick Left,4, Correct,199018959,1005000000,805981041,
16,829022443, Control, Double Flip Right,5, Correct,180330625,1010000000,,237042656,,11,905003224, Return, Flick Left,5, Correct,308261874,1005000000,696738126,539735520
16,829022717, Control, Flick Down,0, Correct,295711978,1004000000,708288022,,,11,905003538, Return, Flick Right,0, Correct,357629375,1004000000,646370625,
16,829022717, Control, Flick Down,1, Correct,89750365,1004000000,914249635,,,11,905003538, Return, Flick Right,2, Correct,313762865,1004000000,690237135,
16,829022717, Control, Flick Down,2, Correct,383780311,1004000000,620219689,,,11,905003538, Return, Flick Right,3, Correct,629804479,1004000000,374195521,
16,829022717, Control, Flick Down,3, Correct,405974114,1004000000,598025886,,,11,905003538, Return, Flick Right,4, Correct,416128072,1004000000,587871928,
16,829022717, Control, Flick Down,4, Correct,827050679,1004000000,176949321,-531338701,,11,905003538, Return, Flick Right,5, Correct,561112187,1004000000,442887813,-107866198
16,829022003, Control, Flick Left,0, Correct,744352135,1005000000,260647865,,,11,905003328, Return, Flick Up,1, Correct,409926354,1007000000,597073646,
16,829022003, Control, Flick Left,1, Correct,314710833,1005000000,690289167,,,11,905003328, Return, Flick Up,2, Correct,251400574,1007000000,755599426,
16,829022003, Control, Flick Left,2, Correct,516535937,1005000000,488464063,,,11,905003328, Return, Flick Up,3, Correct,191475208,1007000000,815524792,
16,829022003, Control, Flick Left,4, Correct,239133854,1005000000,765866146,,,11,905003328, Return, Flick Up,4, Correct,256303490,1007000000,750696510,
16,829022003, Control, Flick Left,5, Correct,245293751,1005000000,759706249,499058384,,11,905003328, Return, Flick Up,5, Correct,347407500,1007000000,659592500,304808697
16,829022558, Control, Flick Right,1, Correct,242144219,1004000000,761855781,,,12,905004427, Return, Double Flip Right,0, Correct,100200209,1010000000,909799791,
16,829022558, Control, Flick Right,2, Correct,291300261,1004000000,712699739,,,12,905004427, Return, Double Flip Right,1, Correct,56161770,1010000000,953838230,
16,829022558, Control, Flick Right,3, Correct,346746980,1004000000,657253020,,,12,905004427, Return, Double Flip Right,2, Correct,86652655,1010000000,923347345,
16,829022558, Control, Flick Right,4, Correct,235999687,1004000000,768000313,,,12,905004427, Return, Double Flip Right,3, Correct,76264739,1010000000,933735261,
16,829022558, Control, Flick Right,5, Correct,80032500,1004000000,923967500,162111719,,12,905004427, Return, Double Flip Right,4, Correct,70920781,1010000000,939079219,271142761
16,829022228, Control, Flick Up,0, Correct,547646353,1007000000,459353647,,,12,905004614, Return, Flick Down,0, Correct,74986353,1004000000,929013647,
16,829022228, Control, Flick Up,1, Correct,355162917,1007000000,651837083,,,12,905004614, Return, Flick Down,1, Correct,69828593,1004000000,934171407,
16,829022228, Control, Flick Up,2, Correct,521114688,1007000000,485885312,,,12,905004614, Return, Flick Down,2, Correct,296066979,1004000000,707933021,
16,829022228, Control, Flick Up,3, Correct,194263854,1007000000,812736146,,,12,905004614, Return, Flick Down,3, Correct,84720990,1004000000,919279010,
16,829022228, Control, Flick Up,4, Correct,609264791,1007000000,397735209,-61618438,,12,905004614, Return, Flick Down,4, Correct,78630313,1004000000,925369687,-13800209
17,829025242, Control, Flick Up,0, Correct,270019062,1007000000,736980938,,,12,905004250, Return, Flick Left,0, Correct,432986094,1005000000,572013906,
17,829025242, Control, Flick Up,1, Correct,260374427,1007000000,746625573,,,12,905004250, Return, Flick Left,1, Correct,232289427,1005000000,772710573,
17,829025242, Control, Flick Up,2, Correct,270361563,1007000000,736638437,,,12,905004250, Return, Flick Left,2, Correct,131986302,1005000000,873013698,
17,829025242, Control, Flick Up,3, Correct,368509009,1007000000,638490991,,,12,905004250, Return, Flick Left,3, Correct,121336354,1005000000,883663646,
17,829025242, Control, Flick Up,4, Correct,358467656,1007000000,648532344,-88448594,,12,905004250, Return, Flick Left,4, Correct,96516666,1005000000,908483334,-42706041
20,829031820, Control, Double Flip Right,1, Correct,262242083,1010000000,,,,12,905004518, Return, Flick Right,0, Correct,52780781,1004000000,951219219,
20,829031820, Control, Double Flip Right,2, Correct,373699219,1010000000,,,,12,905004518, Return, Flick Right,1, Correct,98816354,1004000000,905183646,
20,829031820, Control, Double Flip Right,3, Correct,368978230,1010000000,,,,12,905004518, Return, Flick Right,3, Correct,63715833,1004000000,940284167,
20,829031820, Control, Double Flip Right,4, Correct,378827812,1010000000,,,,12,905004518, Return, Flick Right,5, Correct,60734948,1004000000,943265052,
20,829031820, Control, Double Flip Right,5, Correct,385374635,1010000000,,-123132552,,12,905004518, Return, Flick Right,6, Correct,58559322,1004000000,945440678,35781718
20,829032009, Control, Flick Down,0, Correct,642523594,1004000000,361476406,,,12,905004341, Return, Flick Up,0, Correct,102041406,1007000000,904958594,
20,829032009, Control, Flick Down,1, Correct,547025313,1004000000,456974687,,,12,905004341, Return, Flick Up,1, Correct,88231614,1007000000,918768386,
20,829032009, Control, Flick Down,2, Correct,506616875,1004000000,497383125,,,12,905004341, Return, Flick Up,2, Correct,86938125,1007000000,920061875,
20,829032009, Control, Flick Down,3, Correct,517140938,1004000000,486859062,,,12,905004341, Return, Flick Up,3, Correct,61588802,1007000000,945411198,
20,829032009, Control, Flick Down,4, Correct,401709218,1004000000,602290782,240814376,,12,905004341, Return, Flick Up,4, Correct,91931460,1007000000,915068540,-3029480
20,829031537, Control, Flick Left,0, Correct,477018073,1005000000,527981927,,,13,903004319, Return, Double Flip Right,6, Correct,1024583333,1010000000,-14583333,
20,829031537, Control, Flick Left,1, Correct,394910312,1005000000,610089688,,,13,903004319, Return, Double Flip Right,7, Correct,872988802,1010000000,137011198,
20,829031537, Control, Flick Left,2, Correct,389792188,1005000000,615207812,,,13,903004319, Return, Double Flip Right,9, Correct,1218685519,1010000000,-208685519,
20,829031537, Control, Flick Left,3, Correct,400634427,1005000000,604365573,,,13,903004319, Return, Double Flip Right,10, Correct,1307262916,1010000000,-297262916,
20,829031537, Control, Flick Left,4, Correct,334875416,1005000000,670124584,142142657,,13,903004319, Return, Double Flip Right,11, Correct,538638021,1010000000,471361979,-1215331456
20,829031915, Control, Flick Right,0, Correct,434382293,1004000000,569617707,,,13,903004546, Return, Flick Down,0, Correct,611378385,1004000000,392621615,
20,829031915, Control, Flick Right,1, Correct,618425208,1004000000,385574792,,,13,903004546, Return, Flick Down,1, Correct,543499115,1004000000,460500885,
20,829031915, Control, Flick Right,2, Correct,444010365,1004000000,559989635,,,13,903004546, Return, Flick Down,2, Correct,688028072,1004000000,315971928,
20,829031915, Control, Flick Right,3, Correct,393713699,1004000000,610286301,,,13,903004546, Return, Flick Down,3, Correct,607358178,1004000000,396641822,
20,829031915, Control, Flick Right,4, Correct,433602083,1004000000,570397917,780210,,13,903004546, Return, Flick Down,4, Correct,578477343,1004000000,425522657,-68720157
20,829031727, Control, Flick Up,0, Correct,545971458,1007000000,461028542,,,13,903004002, Return, Flick Left,7, Correct,446544322,1005000000,558455678,
20,829031727, Control, Flick Up,1, Correct,369533540,1007000000,637466460,,,13,903004002, Return, Flick Left,8, Correct,233682553,1005000000,771317447,
20,829031727, Control, Flick Up,2, Correct,533975157,1007000000,473024843,,,13,903004002, Return, Flick Left,9, Correct,180355729,1005000000,824644271,
20,829031727, Control, Flick Up,3, Correct,504639270,1007000000,502360730,,,13,903004002, Return, Flick Left,10, Correct,269350053,1005000000,735649947,
20,829031727, Control, Flick Up,4, Correct,474051824,1007000000,532948176,71919634,,13,903004002, Return, Flick Left,11, Correct,244976406,1005000000,760023594,309127290
22,829035808, Control, Double Flip Right,0, Correct,1347024426,1010000000,,,,13,903004453, Return, Flick Right,0, Correct,411017760,1004000000,592982240,
22,829035808, Control, Double Flip Right,1, Correct,1275718591,1010000000,,,,13,903004453, Return, Flick Right,1, Correct,581562031,1004000000,422437969,
22,829035808, Control, Double Flip Right,2, Correct,1429248124,1010000000,,,,13,903004453, Return, Flick Right,2, Correct,433622135,1004000000,570377865,
22,829035808, Control, Double Flip Right,3, Correct,1353125416,1010000000,,,,13,903004453, Return, Flick Right,3, Correct,1143659167,1004000000,-139659167,
22,829035808, Control, Double Flip Right,4, Correct,928668958,1010000000,,418355468,,13,903004453, Return, Flick Right,4, Correct,685094375,1004000000,318905625,-898682761
22,829040008, Control, Flick Down,0, Correct,1137063697,1004000000,-133063697,,,13,903004230, Return, Flick Up,0, Correct,586583177,1007000000,420416823,
22,829040008, Control, Flick Down,1, Correct,824897760,1004000000,179102240,,,13,903004230, Return, Flick Up,1, Correct,63430156,1007000000,943569844,
22,829040008, Control, Flick Down,2, Correct,909543542,1004000000,94456458,,,13,903004230, Return, Flick Up,2, Correct,380257604,1007000000,626742396,
22,829040008, Control, Flick Down,3, Correct,516426719,1004000000,487573281,,,13,903004230, Return, Flick Up,3, Correct,455180312,1007000000,551819688,
22,829040008, Control, Flick Down,4, Correct,752038125,1004000000,251961875,385025572,,13,903004230, Return, Flick Up,4, Correct,458032031,1007000000,548967969,229914063
22,829035410, Control, Flick Left,0, Correct,1603938072,1005000000,-598938072,,,14,904222818, Return, Double Flip Right,3, Correct,249826094,1010000000,760173906,
22,829035410, Control, Flick Left,1, Correct,1218351925,1005000000,-213351925,,,14,904222818, Return, Double Flip Right,4, Correct,242960364,1010000000,767039636,
22,829035410, Control, Flick Left,2, Correct,801561770,1005000000,203438230,,,14,904222818, Return, Double Flip Right,6, Correct,328881146,1010000000,681118854,
