Participant,Condition,Question,Answer
10_21_13_23_28,GlissandoM,Answer2,2
10_21_13_23_28,GlissandoM,Answer3,2
10_21_13_23_28,GlissandoM,Answer4,7
10_21_13_23_28,GlissandoM,Answer5,3
10_21_13_23_28,GlissandoM,Answer6,8
10_21_12_46_30,GlissandoF,Answer1,6.5
10_21_12_46_30,GlissandoF,Answer2,4.9
10_21_12_46_30,GlissandoF,Answer3,4.9
10_21_12_46_30,GlissandoF,Answer4,4.6
10_21_12_46_30,GlissandoF,Answer5,4.9
10_21_12_46_30,GlissandoF,Answer6,2.8
10_21_11_50_54,GlissandoM,Answer1,5.2
10_21_11_50_54,GlissandoM,Answer2,3.2
10_21_11_50_54,GlissandoM,Answer3,5.4
10_21_11_50_54,GlissandoM,Answer4,6.3
10_21_11_50_54,GlissandoM,Answer5,3.7
10_21_11_50_54,GlissandoM,Answer6,2.4
10_20_17_7_39,GlissandoM,Answer1,7.8
10_20_17_7_39,GlissandoM,Answer2,3.2
10_20_17_7_39,GlissandoM,Answer3,2.8
10_20_17_7_39,GlissandoM,Answer4,7.6
10_20_17_7_39,GlissandoM,Answer5,1.9
10_20_17_7_39,GlissandoM,Answer6,0
10_20_17_52_33,GlissandoS,Answer1,9.8
10_20_17_52_33,GlissandoS,Answer2,9.8
10_20_17_52_33,GlissandoS,Answer3,0.2
10_20_17_52_33,GlissandoS,Answer4,9.8
10_20_17_52_33,GlissandoS,Answer5,0.2
10_20_17_52_33,GlissandoS,Answer6,8.3
10_20_17_35_57,Silenzio,Answer1,1.1
10_20_17_35_57,Silenzio,Answer2,0.8
10_20_17_35_57,Silenzio,Answer3,6.3
10_20_17_35_57,Silenzio,Answer4,2.2
10_20_17_35_57,Silenzio,Answer5,9.3
10_20_17_35_57,Silenzio,Answer6,7.2
10_20_17_20_25,GlissandoF,Answer1,1
10_20_17_20_25,GlissandoF,Answer2,0.8
10_20_17_20_25,GlissandoF,Answer3,6.5
10_20_17_20_25,GlissandoF,Answer4,9.5
10_20_17_20_25,GlissandoF,Answer5,0.3
10_20_17_20_25,GlissandoF,Answer6,3.2
10_20_16_31_1,GlissandoS,Answer1,8.3
10_20_16_31_1,GlissandoS,Answer2,8.3
10_20_16_31_1,GlissandoS,Answer3,0.3
10_20_16_31_1,GlissandoS,Answer4,5
10_20_16_31_1,GlissandoS,Answer5,5
10_20_16_31_1,GlissandoS,Answer6,0.7
10_20_16_12_17,Silenzio,Answer1,7.5
10_20_16_12_17,Silenzio,Answer2,3.5
10_20_16_12_17,Silenzio,Answer3,8.1
10_20_16_12_17,Silenzio,Answer4,7.5
10_20_16_12_17,Silenzio,Answer5,2.1
10_20_16_12_17,Silenzio,Answer6,3.2
10_20_15_51_6,GlissandoF,Answer1,8.5
10_20_15_51_6,GlissandoF,Answer2,8.6
10_20_15_51_6,GlissandoF,Answer3,0.2
10_20_15_51_6,GlissandoF,Answer4,9.6
10_20_15_51_6,GlissandoF,Answer5,0.2
10_20_15_51_6,GlissandoF,Answer6,7.8
10_20_15_24_23,GlissandoM,Answer1,8.7
10_20_15_24_23,GlissandoM,Answer2,6.2
10_20_15_24_23,GlissandoM,Answer3,0.5
10_20_15_24_23,GlissandoM,Answer4,8.6
10_20_15_24_23,GlissandoM,Answer5,1.8
10_20_15_24_23,GlissandoM,Answer6,1.1
10_20_14_9_41,GlissandoF,Answer1,10
10_20_14_9_41,GlissandoF,Answer2,10
10_20_14_9_41,GlissandoF,Answer3,0
10_20_14_9_41,GlissandoF,Answer4,10
10_20_14_9_41,GlissandoF,Answer5,0
10_20_14_9_41,GlissandoF,Answer6,6
10_20_14_58_46,GlissandoS,Answer1,2.6
10_20_14_58_46,GlissandoS,Answer2,0.2
10_20_14_58_46,GlissandoS,Answer3,5.9
10_20_14_58_46,GlissandoS,Answer4,4.1
10_20_14_58_46,GlissandoS,Answer5,2.9
10_20_14_58_46,GlissandoS,Answer6,1.8
10_20_14_26_46,Silenzio,Answer1,2.5
10_20_14_26_46,Silenzio,Answer2,2.3
10_20_14_26_46,Silenzio,Answer3,6.4
10_20_14_26_46,Silenzio,Answer4,2.5
10_20_14_26_46,Silenzio,Answer5,6
10_20_14_26_46,Silenzio,Answer6,4.5
10_20_13_47_42,GlissandoM,Answer1,7.2
10_20_13_47_42,GlissandoM,Answer2,5.2
10_20_13_47_42,GlissandoM,Answer3,4.1
10_20_13_47_42,GlissandoM,Answer4,7.8
10_20_13_47_42,GlissandoM,Answer5,2.6
10_20_13_47_42,GlissandoM,Answer6,4.6
10_20_13_10_13,GlissandoS,Answer1,6.2
10_20_13_10_13,GlissandoS,Answer2,7.7
10_20_13_10_13,GlissandoS,Answer3,1.9
10_20_13_10_13,GlissandoS,Answer4,6.8
10_20_13_10_13,GlissandoS,Answer5,3.5
10_20_13_10_13,GlissandoS,Answer6,4.7
10_20_12_51_13,Silenzio,Answer1,8.9
10_20_12_51_13,Silenzio,Answer2,8.5
10_20_12_51_13,Silenzio,Answer3,0
10_20_12_51_13,Silenzio,Answer4,8.2
10_20_12_51_13,Silenzio,Answer5,0
10_20_12_51_13,Silenzio,Answer6,4.8
10_20_12_42_30,GlissandoF,Answer1,10
10_20_12_42_30,GlissandoF,Answer2,0
10_20_12_42_30,GlissandoF,Answer3,10
10_20_12_42_30,GlissandoF,Answer4,10
10_20_12_42_30,GlissandoF,Answer5,0
10_20_12_42_30,GlissandoF,Answer6,0.9
10_20_12_1_52,GlissandoM,Answer1,10
10_20_12_1_52,GlissandoM,Answer2,3.4
10_20_12_1_52,GlissandoM,Answer3,5.3
10_20_12_1_52,GlissandoM,Answer4,0
10_20_12_1_52,GlissandoM,Answer5,10
10_20_12_1_52,GlissandoM,Answer6,4.8
10_19_18_31_56,Silenzio,Answer1,8.3
10_19_18_31_56,Silenzio,Answer2,9.5
10_19_18_31_56,Silenzio,Answer3,0.7
10_19_18_31_56,Silenzio,Answer4,7.8
10_19_18_31_56,Silenzio,Answer5,0.6
10_19_18_31_56,Silenzio,Answer6,5.2
10_19_18_2_35,GlissandoF,Answer1,9.6
10_19_18_2_35,GlissandoF,Answer2,7.5
10_19_18_2_35,GlissandoF,Answer3,0.6
10_19_18_2_35,GlissandoF,Answer4,7.2
10_19_18_2_35,GlissandoF,Answer5,0.5
10_19_18_2_35,GlissandoF,Answer6,6.5
10_19_18_19_19,GlissandoS,Answer1,8.8
10_19_18_19_19,GlissandoS,Answer2,9.8
10_19_18_19_19,GlissandoS,Answer3,0.2
10_19_18_19_19,GlissandoS,Answer4,8.9
10_19_18_19_19,GlissandoS,Answer5,1
10_19_18_19_19,GlissandoS,Answer6,8.4
10_19_17_51_21,GlissandoM,Answer1,6.6
10_19_17_51_21,GlissandoM,Answer2,4.7
10_19_17_51_21,GlissandoM,Answer3,2
10_19_17_51_21,GlissandoM,Answer4,10
10_19_17_51_21,GlissandoM,Answer5,0
10_19_17_51_21,GlissandoM,Answer6,9
10_19_17_15_56,GlissandoS,Answer1,5.3
10_19_17_15_56,GlissandoS,Answer2,4.8
10_19_17_15_56,GlissandoS,Answer3,4.9
10_19_17_15_56,GlissandoS,Answer4,7
10_19_17_15_56,GlissandoS,Answer5,5
10_19_17_15_56,GlissandoS,Answer6,6.6
10_19_16_37_15,Silenzio,Answer1,7.3
10_19_16_37_15,Silenzio,Answer2,1.2
10_19_16_37_15,Silenzio,Answer3,9.2
10_19_16_37_15,Silenzio,Answer4,0.8
10_19_16_37_15,Silenzio,Answer5,9.5
10_19_16_37_15,Silenzio,Answer6,1.8
10_19_16_18_53,GlissandoF,Answer1,7.8
10_19_16_18_53,GlissandoF,Answer2,2.2
10_19_16_18_53,GlissandoF,Answer3,7.5
10_19_16_18_53,GlissandoF,Answer4,8
10_19_16_18_53,GlissandoF,Answer5,2.5
10_19_16_18_53,GlissandoF,Answer6,0
10_19_15_23_29,GlissandoM,Answer1,8.7
10_19_15_23_29,GlissandoM,Answer2,9
10_19_15_23_29,GlissandoM,Answer3,2.3
10_19_15_23_29,GlissandoM,Answer4,6.3
10_19_15_23_29,GlissandoM,Answer5,3.1
10_19_15_23_29,GlissandoM,Answer6,3.1
10_19_15_10_21,Silenzio,Answer1,5
10_19_15_10_21,Silenzio,Answer2,7
10_19_15_10_21,Silenzio,Answer3,3
10_19_15_10_21,Silenzio,Answer4,7
10_19_15_10_21,Silenzio,Answer5,3
10_19_15_10_21,Silenzio,Answer6,10
10_19_14_59_6,GlissandoS,Answer1,5.9
10_19_14_59_6,GlissandoS,Answer2,7.1
10_19_14_59_6,GlissandoS,Answer3,2.1
10_19_14_59_6,GlissandoS,Answer4,0.9
10_19_14_59_6,GlissandoS,Answer5,4.8
10_19_14_59_6,GlissandoS,Answer6,2.4
10_18_15_39_31,GlissandoS,Answer1,7.2
10_18_15_39_31,GlissandoS,Answer2,7
10_18_15_39_31,GlissandoS,Answer3,2.1
10_18_15_39_31,GlissandoS,Answer4,6.9
10_18_15_39_31,GlissandoS,Answer5,2.3
10_18_15_39_31,GlissandoS,Answer6,7.1
10_18_15_1_45,Silenzio,Answer1,2.8
10_18_15_1_45,Silenzio,Answer2,2.1
10_18_15_1_45,Silenzio,Answer3,6.6
10_18_15_1_45,Silenzio,Answer4,7.6
10_18_15_1_45,Silenzio,Answer5,3.8
10_18_15_1_45,Silenzio,Answer6,0
