Participant,FirstID,Condition,GestureF,IncorrectF,CorrectF,ErrorRateF,ReturnID,GestureR,IncorrectR,CorrectR,ErrorRateR,IncorrectT,CorrectT,ErrorRateT,,
29,901222226,Glissando,ALL,1,25,0.038461538,909011137,ALL,0,25,0,1,50,0.019607843,,
30,901231941,Control,DoubleFlip,1,5,0.166666667,908233341,DoubleFlip,2,5,0.285714286,3,10,0.230769231,,
30,901232126,Control,FlickDown,0,5,0,908233509,FlickDown,1,5,0.166666667,1,10,0.090909091,,
30,901231638,Control,FlickLeft,0,5,0,908233053,FlickLeft,13,5,0.722222222,13,10,0.565217391,,
30,901232031,Control,FlickRight,3,5,0.375,908233431,FlickRight,0,5,0,3,10,0.230769231,,
30,901231845,Control,FlickUp,1,5,0.166666667,908233254,FlickUp,0,5,0,1,10,0.090909091,,
30,901231941,Control,ALL,5,25,0.166666667,908233341,ALL,16,25,0.390243902,21,50,0.295774648,,
31,902000208,Glissando,DoubleFlip,1,5,0.166666667,909235005,DoubleFlip,7,5,0.583333333,8,10,0.444444444,,
31,902000431,Glissando,FlickDown,0,5,0,909235244,FlickDown,0,5,0,0,10,0,,
31,901235733,Glissando,FlickLeft,1,5,0.166666667,909234751,FlickLeft,0,5,0,1,10,0.090909091,,
31,902000333,Glissando,FlickRight,2,5,0.285714286,909235156,FlickRight,1,5,0.166666667,3,10,0.230769231,,
31,902000029,Glissando,FlickUp,2,5,0.285714286,909234920,FlickUp,0,5,0,2,10,0.166666667,,
31,902000208,Glissando,ALL,6,25,0.193548387,909235005,ALL,8,25,0.242424242,14,50,0.21875,,
32,902001041,Control,DoubleFlip,0,5,0,909022517,DoubleFlip,0,5,0,0,10,0,,
32,902001225,Control,FlickDown,0,5,0,909022644,FlickDown,0,5,0,0,10,0,,
32,902000657,Control,FlickLeft,0,5,0,909022333,FlickLeft,1,5,0.166666667,1,10,0.090909091,,
32,902001139,Control,FlickRight,0,5,0,909022601,FlickRight,0,5,0,0,10,0,,
32,902000940,Control,FlickUp,0,5,0,909022424,FlickUp,0,5,0,0,10,0,,
32,902001041,Control,ALL,0,25,0,909022517,ALL,1,25,0.038461538,1,50,0.019607843,,
33,902001832,Glissando,DoubleFlip,0,5,0,909025754,DoubleFlip,0,5,0,0,10,0,,
33,902002019,Glissando,FlickDown,0,5,0,909025938,FlickDown,0,5,0,0,10,0,,
33,902001426,Glissando,FlickLeft,0,5,0,909025610,FlickLeft,0,5,0,0,10,0,,
33,902001931,Glissando,FlickRight,0,5,0,909025841,FlickRight,0,5,0,0,10,0,,
33,902001717,Glissando,FlickUp,0,5,0,909025703,FlickUp,0,5,0,0,10,0,,
33,902001832,Glissando,ALL,0,25,0,909025754,ALL,0,25,0,0,50,0,,
34,902002755,Control,DoubleFlip,0,5,0,909001546,DoubleFlip,0,5,0,0,10,0,,
34,902002945,Control,FlickDown,0,5,0,909001759,FlickDown,0,5,0,0,10,0,,
34,902002326,Control,FlickLeft,0,5,0,909001249,FlickLeft,0,5,0,0,10,0,,
34,902002854,Control,FlickRight,0,5,0,909001640,FlickRight,0,5,0,0,10,0,,
34,902002626,Control,FlickUp,0,5,0,909001437,FlickUp,0,5,0,0,10,0,,
34,902002755,Control,ALL,0,25,0,909001546,ALL,0,25,0,0,50,0,,
35,902005611,Glissando,DoubleFlip,2,5,0.285714286,909213327,DoubleFlip,3,5,0.375,2,10,0.166666667,,
35,902005742,Glissando,FlickDown,0,5,0,909213508,FlickDown,0,5,0,1,10,0.090909091,,
35,902005143,Glissando,FlickLeft,2,5,0.285714286,909213119,FlickLeft,0,5,0,5,10,0.333333333,,
35,902005706,Glissando,FlickRight,0,5,0,909213426,FlickRight,0,5,0,0,10,0,,
35,902005527,Glissando,FlickUp,1,5,0.166666667,909213245,FlickUp,0,5,0,0,10,0,,
35,902005611,Glissando,ALL,5,25,0.166666667,909213327,ALL,3,25,0.107142857,8,50,0.137931034,,
36,902004003,Control,DoubleFlip,2,5,0.285714286,908231616,DoubleFlip,0,5,0,18,10,0.642857143,,
