Participant,ParticipantID,Condition,Trial,Gesture,AttemptNumber,Outcome,GestureLength(ns),IdealGestureLength,Difference,ABSDifference,,,,
10,905015939,Control,Return,DoubleFlip,3,Correct,2.51E+02,1.01E+03,7.59E+02,7.59E+02,,,,
10,905015939,Control,Return,DoubleFlip,4,Correct,1.92E+02,1.01E+03,8.18E+02,8.18E+02,,,,
10,905015939,Control,Return,DoubleFlip,5,Correct,1.21E+02,1.01E+03,8.89E+02,8.89E+02,,,,
10,905020110,Control,Return,FlickDown,0,Correct,4.52E+02,1.00E+03,5.52E+02,5.52E+02,,,,
10,905020110,Control,Return,FlickDown,1,Correct,4.96E+02,1.00E+03,5.08E+02,5.08E+02,,,,
10,905020110,Control,Return,FlickDown,2,Correct,3.80E+02,1.00E+03,6.24E+02,6.24E+02,,,,
10,905020110,Control,Return,FlickDown,3,Correct,3.95E+02,1.00E+03,6.09E+02,6.09E+02,,,,
10,905020110,Control,Return,FlickDown,4,Correct,5.06E+02,1.00E+03,4.98E+02,4.98E+02,,,,
10,905015701,Control,Return,FlickLeft,0,Incorrect,7.98E+01,1.01E+03,9.25E+02,9.25E+02,,,,
10,905015701,Control,Return,FlickLeft,1,Correct,3.64E+02,1.01E+03,6.41E+02,6.41E+02,,,,
10,905015701,Control,Return,FlickLeft,2,Correct,2.99E+02,1.01E+03,7.06E+02,7.06E+02,,,,
10,905015701,Control,Return,FlickLeft,3,Correct,6.60E+02,1.01E+03,3.45E+02,3.45E+02,,,,
10,905015701,Control,Return,FlickLeft,4,Correct,5.34E+02,1.01E+03,4.71E+02,4.71E+02,,,,
10,905015701,Control,Return,FlickLeft,5,Correct,5.06E+02,1.01E+03,4.99E+02,4.99E+02,,,,
10,905020029,Control,Return,FlickRight,0,Correct,3.91E+02,1.00E+03,6.13E+02,6.13E+02,,,,
10,905020029,Control,Return,FlickRight,1,Correct,3.53E+02,1.00E+03,6.51E+02,6.51E+02,,,,
10,905020029,Control,Return,FlickRight,2,Correct,5.58E+02,1.00E+03,4.46E+02,4.46E+02,,,,
10,905020029,Control,Return,FlickRight,3,Correct,2.84E+02,1.00E+03,7.20E+02,7.20E+02,,,,
10,905020029,Control,Return,FlickRight,4,Correct,3.43E+02,1.00E+03,6.61E+02,6.61E+02,,,,
10,905015853,Control,Return,FlickUp,0,Correct,4.65E+02,1.01E+03,5.42E+02,5.42E+02,,,,
10,905015853,Control,Return,FlickUp,1,Correct,5.13E+02,1.01E+03,4.94E+02,4.94E+02,,,,
10,905015853,Control,Return,FlickUp,2,Correct,8.33E+02,1.01E+03,1.74E+02,1.74E+02,,,,
10,905015853,Control,Return,FlickUp,3,Correct,5.13E+02,1.01E+03,4.94E+02,4.94E+02,,,,
