NID,FID,Group,GestureF,IncorrectF,CorrectF,RatioF,RID,GestureR,IncorrectR,CorrectR,RatioR,IncorrectT,CorrectT,RatioT,,
34,902002854,Control,FR,0,5,1,909001640,FR,0,5,1,0,10,1,,
34,902002626,Control,FU,0,5,1,909001437,FU,0,5,1,0,10,1,,
34,902002755,Control,ALL,0,25,1,909001546,ALL,0,25,1,0,50,1,,
35,902005611,Glissando,DF,2,5,0.714285714,909213327,DF,3,5,0.625,2,10,0.833333333,,
35,902005742,Glissando,FD,0,5,1,909213508,FD,0,5,1,1,10,0.909090909,,
35,902005143,Glissando,FL,2,5,0.714285714,909213119,FL,0,5,1,5,10,0.666666667,,
35,902005706,Glissando,FR,0,5,1,909213426,FR,0,5,1,0,10,1,,
35,902005527,Glissando,FU,1,5,0.833333333,909213245,FU,0,5,1,0,10,1,,
35,902005611,Glissando,ALL,5,25,0.833333333,909213327,ALL,3,25,0.892857143,8,50,0.862068966,,
36,902004003,Control,DF,2,5,0.714285714,908231616,DF,0,5,1,18,10,0.357142857,,
36,902004143,Control,FD,0,5,1,908231746,FD,0,5,1,1,10,0.909090909,,
36,902003427,Control,FL,18,5,0.217391304,908231401,FL,4,5,0.555555556,2,10,0.833333333,,
36,902004100,Control,FR,0,5,1,908231703,FR,0,5,1,0,10,1,,
36,902003902,Control,FU,1,5,0.833333333,908231521,FU,0,5,1,0,10,1,,
36,902004003,Control,ALL,21,25,0.543478261,908231616,ALL,4,25,0.862068966,21,50,0.704225352,,
37,902011140,Glissando,DF,0,5,1,909205608,DF,0,5,1,0,10,1,,
37,902011336,Glissando,FD,0,5,1,909205735,FD,3,5,0.625,3,10,0.769230769,,
37,902010635,Glissando,FL,1,5,0.833333333,909205338,FL,0,5,1,1,10,0.909090909,,
37,902011227,Glissando,FR,3,5,0.625,909205651,FR,0,5,1,3,10,0.769230769,,
37,902011043,Glissando,FU,0,5,1,909205512,FU,2,5,0.714285714,2,10,0.833333333,,
37,902011140,Glissando,ALL,4,25,0.862068966,909205608,ALL,5,25,0.833333333,9,50,0.847457627,,
38,902012733,Control,DF,6,5,0.454545455,908211813,DF,0,5,1,6,10,0.625,,
38,902013015,Control,FD,0,5,1,908211945,FD,4,5,0.555555556,4,10,0.714285714,,
38,902012339,Control,FL,0,5,1,908211548,FL,0,5,1,0,10,1,,
38,902012921,Control,FR,0,5,1,908211902,FR,0,5,1,0,10,1,,
38,902012624,Control,FU,0,5,1,908211728,FU,0,5,1,0,10,1,,
38,902012733,Control,ALL,6,25,0.806451613,908211813,ALL,4,25,0.862068966,10,50,0.833333333,,
40,902022203,Control,DF,0,5,1,909020638,DF,1,5,0.833333333,1,10,0.909090909,,
40,902022345,Control,FD,0,5,1,909020816,FD,0,5,1,0,10,1,,
40,902021905,Control,FL,0,5,1,909020444,FL,0,5,1,0,10,1,,
40,902022257,Control,FR,0,5,1,909020735,FR,0,5,1,0,10,1,,
40,902022105,Control,FU,0,5,1,909020538,FU,1,5,0.833333333,1,10,0.909090909,,
40,902022203,Control,ALL,0,25,1,909020638,ALL,2,25,0.925925926,2,50,0.961538462,,
42,902033244,Control,DF,0,5,1,910030151,DF,0,5,1,0,10,1,,
42,902033426,Control,FD,0,5,1,910030336,FD,0,5,1,0,10,1,,
42,902033044,Control,FL,0,5,1,910025930,FL,0,5,1,0,10,1,,
42,902033340,Control,FR,0,5,1,910030239,FR,3,5,0.625,3,10,0.769230769,,
42,902033146,Control,FU,1,5,0.833333333,910030105,FU,0,5,1,1,10,0.909090909,,
42,902033244,Control,ALL,1,25,0.961538462,910030151,ALL,3,25,0.892857143,4,50,0.925925926,,
43,902042407,Glissando,DF,2,5,0.714285714,910010423,DF,14,5,0.263157895,16,10,0.384615385,,
43,902042843,Glissando,FD,0,5,1,910010847,FD,0,5,1,0,10,1,,
43,902042142,Glissando,FL,0,5,1,910010150,FL,4,5,0.555555556,4,10,0.714285714,,
43,902042737,Glissando,FR,0,5,1,910010736,FR,5,5,0.5,5,10,0.666666667,,
43,902042309,Glissando,FU,0,5,1,910010332,FU,1,5,0.833333333,1,10,0.909090909,,
43,902042407,Glissando,ALL,2,25,0.925925926,910010423,ALL,24,25,0.510204082,26,50,0.657894737,,
45,902040107,Control,DF,0,5,1,909035444,DF,0,5,1,0,10,1,,
45,902035934,Control,FD,0,5,1,909035611,FD,0,5,1,0,10,1,,
45,902035725,Control,FL,0,5,1,909035223,FL,0,5,1,0,10,1,,
45,902040021,Control,FR,0,5,1,909035528,FR,0,5,1,0,10,1,,
45,902035833,Control,FU,1,5,0.833333333,909035356,FU,0,5,1,1,10,0.909090909,,
45,902040107,Control,ALL,1,25,0.961538462,909035444,ALL,0,25,1,1,50,0.980392157,,
46,902230022,Glissando,DF,1,5,0.833333333,909230015,DF,2,5,0.714285714,3,10,0.769230769,,
46,902230159,Glissando,FD,0,5,1,909230151,FD,1,5,0.833333333,1,10,0.909090909,,
