ParticipantID,Condition,Participated,Question,Answer,Group,LongQuestion
10_21_14_51_38,Silenzio,no,Q3,0,Control,Audio feedback helped me learn the timing of the gesture
10_21_14_51_38,Silenzio,no,Q4,5.15,Control,Audio feedback did not help me learn the timing of the gesture
10_21_15_48_31,GlissandoS,no,Q1,8.46,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_15_48_31,GlissandoS,no,Q2,8.23,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_15_48_31,GlissandoS,no,Q3,1.08,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_15_48_31,GlissandoS,no,Q4,4.69,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_16_27_6,GlissandoF,no,Q1,9.15,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_16_27_6,GlissandoF,no,Q2,3.77,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_16_27_6,GlissandoF,no,Q3,0.69,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_16_27_6,GlissandoF,no,Q4,7.54,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_16_47_21,GlissandoS,yes,Q1,6.54,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_16_47_21,GlissandoS,yes,Q2,5,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_16_47_21,GlissandoS,yes,Q3,5.23,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_16_47_21,GlissandoS,yes,Q4,5.38,Glissando,Audio feedback did not help me learn the timing of the gesture
10_21_17_13_21,Silenzio,no,Q1,9.69,Control,Audio feedback helped me learn the movement of the gesture
10_21_17_13_21,Silenzio,no,Q2,7.54,Control,Audio feedback did not help me learn the movement of the gesture
10_21_17_13_21,Silenzio,no,Q3,1.62,Control,Audio feedback helped me learn the timing of the gesture
10_21_17_13_21,Silenzio,no,Q4,9.23,Control,Audio feedback did not help me learn the timing of the gesture
10_21_17_22_19,Silenzio,no,Q1,10,Control,Audio feedback helped me learn the movement of the gesture
10_21_17_22_19,Silenzio,no,Q2,0,Control,Audio feedback did not help me learn the movement of the gesture
10_21_17_22_19,Silenzio,no,Q3,10,Control,Audio feedback helped me learn the timing of the gesture
10_21_17_22_19,Silenzio,no,Q4,10,Control,Audio feedback did not help me learn the timing of the gesture
10_21_17_38_56,GlissandoS,no,Q1,3,Glissando,Audio feedback helped me learn the movement of the gesture
10_21_17_38_56,GlissandoS,no,Q2,4.62,Glissando,Audio feedback did not help me learn the movement of the gesture
10_21_17_38_56,GlissandoS,no,Q3,7.46,Glissando,Audio feedback helped me learn the timing of the gesture
10_21_17_38_56,GlissandoS,no,Q4,7.54,Glissando,Audio feedback did not help me learn the timing of the gesture
10_22_15_17_43,Silenzio,yes,Q1,4.77,Control,Audio feedback helped me learn the movement of the gesture
10_22_15_17_43,Silenzio,yes,Q2,4.85,Control,Audio feedback did not help me learn the movement of the gesture
10_22_15_17_43,Silenzio,yes,Q3,2.62,Control,Audio feedback helped me learn the timing of the gesture
10_22_15_17_43,Silenzio,yes,Q4,4.08,Control,Audio feedback did not help me learn the timing of the gesture
10_22_15_2_52,GlissandoF,no,Q1,2.46,Glissando,Audio feedback helped me learn the movement of the gesture
10_22_15_2_52,GlissandoF,no,Q2,2.08,Glissando,Audio feedback did not help me learn the movement of the gesture
10_22_15_2_52,GlissandoF,no,Q3,3.62,Glissando,Audio feedback helped me learn the timing of the gesture
10_22_15_2_52,GlissandoF,no,Q4,6.08,Glissando,Audio feedback did not help me learn the timing of the gesture
10_22_15_33_52,GlissandoS,no,Q1,8.38,Glissando,Audio feedback helped me learn the movement of the gesture
10_22_15_33_52,GlissandoS,no,Q2,7.69,Glissando,Audio feedback did not help me learn the movement of the gesture
10_22_15_33_52,GlissandoS,no,Q3,0.85,Glissando,Audio feedback helped me learn the timing of the gesture
